category,glyph name,composition,code point,(char.),(character name),(compatible glyph name)
syllabic,r-cans,,0x1552,ᕒ,CANADIAN SYLLABICS MEDIAL R,rCans
syllabic,e-cans,,0x1401,ᐁ,CANADIAN SYLLABICS E,eCans
syllabic,i-cans,,0x1403,ᐃ,CANADIAN SYLLABICS I,iCans
syllabic,o-cans,,0x1405,ᐅ,CANADIAN SYLLABICS O,oCans
syllabic,a-cans,,0x140A,ᐊ,CANADIAN SYLLABICS A,aCans
syllabic,dot_e-cans,"dot-cans, e-cans",0x140C,ᐌ,CANADIAN SYLLABICS WE,dotCans_eCans
syllabic,e_dot-cans,"e-cans, dot-cans",0x140D,ᐍ,CANADIAN SYLLABICS WEST-CREE WE,eCans_dotCans
syllabic,e_supGrave-cans,"e-cans, supGrave-cans",0x142B,ᐫ,CANADIAN SYLLABICS EN,eCans_supGraveCans
syllabic,i_dotAbove-cans,"i-cans, dotAbove-cans",0x1404,ᐄ,CANADIAN SYLLABICS II,iCans_dotAboveCans
syllabic,i_ringAbove-cans,"i-cans, ringAbove-cans",0x1402,ᐂ,CANADIAN SYLLABICS AAI,iCans_ringAboveCans
syllabic,dot_i-cans,"dot-cans, i-cans",0x140E,ᐎ,CANADIAN SYLLABICS WI,dotCans_iCans
syllabic,dot_i_dotAbove-cans,"dot-cans, i-cans, dotAbove-cans",0x1410,ᐐ,CANADIAN SYLLABICS WII,dotCans_iCans_dotAboveCans
syllabic,i_dot-cans,"i-cans, dot-cans",0x140F,ᐏ,CANADIAN SYLLABICS WEST-CREE WI,iCans_dotCans
syllabic,i_dotAbove_dot-cans,"i-cans, dotAbove-cans, dot-cans",0x1411,ᐑ,CANADIAN SYLLABICS WEST-CREE WII,iCans_dotAboveCans_dotCans
syllabic,i_supGrave-cans,"i-cans, supGrave-cans",0x142C,ᐬ,CANADIAN SYLLABICS IN,iCans_supGraveCans
syllabic,o_dotAbove-cans,"o-cans, dotAbove-cans",0x1406,ᐆ,CANADIAN SYLLABICS OO,oCans_dotAboveCans
